,,,,,Original variables,,,,,,,,,,,first order lag variables,,,,,,,,,,,SEVENTH ORDER LAG VARIABLES,,,,,,,,,,
14-01-2010,1,1,1,0,29.16365346,54.57599537,17.52063724,12.60971536,36.67843925,0.077907535,69.35416868,15.52929025,4.006875546,2.158700745,287.8378594,44.43466049,43.24660449,10.55801911,32.06303771,48.87005241,0.01467007,68.10714881,18.13834804,4.653003408,2.256549163,304.6932491,23.00724672,35.68552295,20.69223426,27.12368197,18.56725373,1.11E-10,27.38451698,16.50618534,4.150879434,2.125485372,279.7752158
15-01-2010,1,1,2,0,40.22052599,43.12274009,16.92198937,1.149407645,25.72310061,0.056592776,60.89949862,13.62441943,3.919908903,2.070247462,281.9703901,29.16365346,54.57599537,17.52063724,12.60971536,36.67843925,0.077907535,69.35416868,15.52929025,4.006875546,2.158700745,287.8378594,13.72766432,38.50543504,12.85416686,9.00362336,44.53521832,6.88E-17,61.11533797,14.3854895,4.257915357,2.129278157,217.1207842
16-01-2010,1,1,3,0,57.36557131,51.4153945,6.290947095,10.77749603,16.75727482,0.099999972,30.28437866,13.2087581,3.418264173,1.993089912,301.0883844,40.22052599,43.12274009,16.92198937,1.149407645,25.72310061,0.056592776,60.89949862,13.62441943,3.919908903,2.070247462,281.9703901,3.165796087,31.54574824,7.518406986,4.363832162,34.41884312,8.14E-27,67.1963679,9.589269902,3.866738959,2.094903182,103.7034614
17-01-2010,1,1,4,0,44.19174786,64.27417848,27.20491387,28.14467441,20.70427192,0.1,34.83007396,16.11186156,3.752585807,1.970024194,351.6058442,57.36557131,51.4153945,6.290947095,10.77749603,16.75727482,0.099999972,30.28437866,13.2087581,3.418264173,1.993089912,301.0883844,8.584788163,23.62434707,4.154828788,1.792394082,27.96393473,2.31E-29,61.2167951,8.571058227,3.52988844,2.00102414,109.9887208
18-01-2010,1,1,5,0,39.56925672,54.3938109,12.95949934,29.20114284,19.69206906,0.099901567,53.21607634,16.89423418,3.870986057,2.031245008,313.3089406,44.19174786,64.27417848,27.20491387,28.14467441,20.70427192,0.1,34.83007396,16.11186156,3.752585807,1.970024194,351.6058442,49.04301098,27.68859112,34.7903646,32.02150549,31.65782209,0.099999009,56.18813315,15.69202784,4.181618319,2.042713598,318.5553989
19-01-2010,1,1,6,0,24.59231615,50.92694254,41.22678948,44.98196353,24.31091845,0.099999995,46.89206971,18.71776324,4.218994808,2.090626366,348.3353145,39.56925672,54.3938109,12.95949934,29.20114284,19.69206906,0.099901567,53.21607634,16.89423418,3.870986057,2.031245008,313.3089406,48.00592018,58.03225823,47.30618591,49.69423711,25.73300309,0.1,69.2563435,19.95864185,4.597717168,2.17240072,355.061154
20-01-2010,1,1,7,0,29.12607541,39.69423711,34.49573989,18.73183582,37.74332779,0.096497542,67.23722327,18.15893061,4.648265491,2.182365876,297.4989736,24.59231615,50.92694254,41.22678948,44.98196353,24.31091845,0.099999995,46.89206971,18.71776324,4.218994808,2.090626366,348.3353145,29.32880598,57.25444013,55.52160209,29.35003799,42.59818015,0.1,70.02679896,20.09551275,4.897073076,2.250743253,339.7723212
21-01-2010,1,1,1,0,30.21943071,19.35003799,23.58251885,23.82378885,42.43698932,2.19E-13,50.83814823,16.57367007,4.549771852,2.218990129,274.8029179,29.12607541,39.69423711,34.49573989,18.73183582,37.74332779,0.096497542,67.23722327,18.15893061,4.648265491,2.182365876,297.4989736,44.43466049,43.24660449,10.55801911,32.06303771,48.87005241,0.01467007,68.10714881,18.13834804,4.653003408,2.256549163,304.6932491
22-01-2010,1,1,2,0,7.298815291,43.09455656,10.96409801,9.916370531,29.12591493,1.65E-18,42.96348257,13.56367766,4.050533249,2.151797679,176.3817508,30.21943071,19.35003799,23.58251885,23.82378885,42.43698932,2.19E-13,50.83814823,16.57367007,4.549771852,2.218990129,274.8029179,29.16365346,54.57599537,17.52063724,12.60971536,36.67843925,0.077907535,69.35416868,15.52929025,4.006875546,2.158700745,287.8378594
23-01-2010,1,1,3,0,26.55499205,43.91457303,28.21524615,13.26135955,23.80575238,0.021161987,62.82830175,13.64999283,3.994232906,2.085021713,223.6108106,7.298815291,43.09455656,10.96409801,9.916370531,29.12591493,1.65E-18,42.96348257,13.56367766,4.050533249,2.151797679,176.3817508,40.22052599,43.12274009,16.92198937,1.149407645,25.72310061,0.056592776,60.89949862,13.62441943,3.919908903,2.070247462,281.9703901
24-01-2010,1,1,4,0,41.28934882,26.72411147,22.58878168,5.41844991,35.6520538,8.29E-06,26.53046274,15.19367664,4.374400293,2.124490574,299.4985461,26.55499205,43.91457303,28.21524615,13.26135955,23.80575238,0.021161987,62.82830175,13.64999283,3.994232906,2.085021713,223.6108106,57.36557131,51.4153945,6.290947095,10.77749603,16.75727482,0.099999972,30.28437866,13.2087581,3.418264173,1.993089912,301.0883844
25-01-2010,1,1,5,0,46.05263235,41.16624404,20.72064404,23.06296766,18.13591535,0.099964375,45.4160431,15.60753859,4.001064588,2.125306584,330.2357827,41.28934882,26.72411147,22.58878168,5.41844991,35.6520538,8.29E-06,26.53046274,15.19367664,4.374400293,2.124490574,299.4985461,44.19174786,64.27417848,27.20491387,28.14467441,20.70427192,0.1,34.83007396,16.11186156,3.752585807,1.970024194,351.6058442
26-01-2010,1,1,6,1,48.2950301,6.280177383,30.00672355,43.16740135,35.31048924,2.01E-08,58.44931589,18.04116876,4.398062553,2.128127789,294.0806192,46.05263235,41.16624404,20.72064404,23.06296766,18.13591535,0.099964375,45.4160431,15.60753859,4.001064588,2.125306584,330.2357827,39.56925672,54.3938109,12.95949934,29.20114284,19.69206906,0.099901567,53.21607634,16.89423418,3.870986057,2.031245008,313.3089406
27-01-2010,1,1,7,1,18.30928471,52.21701162,28.48306071,42.20324819,20.20937979,0.02707851,63.62193639,18.97904229,4.288394916,2.1617652,281.0552723,48.2950301,6.280177383,30.00672355,43.16740135,35.31048924,2.01E-08,58.44931589,18.04116876,4.398062553,2.128127789,294.0806192,24.59231615,50.92694254,41.22678948,44.98196353,24.31091845,0.099999995,46.89206971,18.71776324,4.218994808,2.090626366,348.3353145
28-01-2010,1,1,1,1,2.463671645,19.20114284,7.365048518,31.69937703,43.24889153,1.51E-32,41.93991421,16.37674554,4.276043499,2.147618562,183.3725005,18.30928471,52.21701162,28.48306071,42.20324819,20.20937979,0.02707851,63.62193639,18.97904229,4.288394916,2.1617652,281.0552723,29.12607541,39.69423711,34.49573989,18.73183582,37.74332779,0.096497542,67.23722327,18.15893061,4.648265491,2.182365876,297.4989736
29-01-2010,1,1,2,1,52.6475777,55.78947426,27.78219561,17.86644375,68.84559815,0.1,91.58175634,15.89636904,4.569478556,2.179911349,277.012394,2.463671645,19.20114284,7.365048518,31.69937703,43.24889153,1.51E-32,41.93991421,16.37674554,4.276043499,2.147618562,183.3725005,30.21943071,19.35003799,23.58251885,23.82378885,42.43698932,2.19E-13,50.83814823,16.57367007,4.549771852,2.218990129,274.8029179
30-01-2010,1,1,3,1,24.83274106,57.47127258,37.44650429,15.81585653,48.59269674,0.1,76.12282358,15.59378476,4.629817158,2.219126928,268.1775743,52.6475777,55.78947426,27.78219561,17.86644375,68.84559815,0.1,91.58175634,15.89636904,4.569478556,2.179911349,277.012394,7.298815291,43.09455656,10.96409801,9.916370531,29.12591493,1.65E-18,42.96348257,13.56367766,4.050533249,2.151797679,176.3817508
31-01-2010,1,1,4,1,31.5227191,34.98196353,31.3646401,21.40681927,35.51203486,0.010615071,74.71096826,15.91921673,4.554696089,2.217518723,241.3556751,24.83274106,57.47127258,37.44650429,15.81585653,48.59269674,0.1,76.12282358,15.59378476,4.629817158,2.219126928,268.1775743,26.55499205,43.91457303,28.21524615,13.26135955,23.80575238,0.021161987,62.82830175,13.64999283,3.994232906,2.085021713,223.6108106
1/2/2010,1,2,5,0,15.88986847,23.09775373,38.1256319,46.70683138,30.71897034,1.15E-11,50.39368495,18.38024657,4.547554533,2.208521704,275.8477246,31.5227191,34.98196353,31.3646401,21.40681927,35.51203486,0.010615071,74.71096826,15.91921673,4.554696089,2.217518723,241.3556751,41.28934882,26.72411147,22.58878168,5.41844991,35.6520538,8.29E-06,26.53046274,15.19367664,4.374400293,2.124490574,299.4985461
2/2/2010,1,2,6,0,49.40649637,60.73568327,53.87812258,36.9447989,17.4887282,0.1,49.26579442,20.23206519,4.616200517,2.215256035,348.5081392,15.88986847,23.09775373,38.1256319,46.70683138,30.71897034,1.15E-11,50.39368495,18.38024657,4.547554533,2.208521704,275.8477246,46.05263235,41.16624404,20.72064404,23.06296766,18.13591535,0.099964375,45.4160431,15.60753859,4.001064588,2.125306584,330.2357827
3/2/2010,1,2,7,0,68.39875406,39.8745558,15.28398818,21.79303111,16.46034631,0.1,71.22274069,18.0649906,4.32494601,2.190663828,329.4877045,49.40649637,60.73568327,53.87812258,36.9447989,17.4887282,0.1,49.26579442,20.23206519,4.616200517,2.215256035,348.5081392,48.2950301,6.280177383,30.00672355,43.16740135,35.31048924,2.01E-08,58.44931589,18.04116876,4.398062553,2.128127789,294.0806192
4/2/2010,1,2,1,0,40.7328875,19.90602945,3.783634055,0.866805528,10.42754831,3.54E-17,38.10927993,13.5923988,3.157728327,2.01259026,252.6881364,68.39875406,39.8745558,15.28398818,21.79303111,16.46034631,0.1,71.22274069,18.0649906,4.32494601,2.190663828,329.4877045,18.30928471,52.21701162,28.48306071,42.20324819,20.20937979,0.02707851,63.62193639,18.97904229,4.288394916,2.1617652,281.0552723
5/2/2010,1,2,2,0,36.63171305,9.068058715,1.773611399,13.60874144,12.6951703,1.54E-24,39.43794631,11.50239464,2.731441606,1.77311506,201.3883036,40.7328875,19.90602945,3.783634055,0.866805528,10.42754831,3.54E-17,38.10927993,13.5923988,3.157728327,2.01259026,252.6881364,2.463671645,19.20114284,7.365048518,31.69937703,43.24889153,1.51E-32,41.93991421,16.37674554,4.276043499,2.147618562,183.3725005
6/2/2010,1,2,3,0,27.81363854,44.89203933,18.09794537,5.781896827,27.6622502,1.01E-05,71.39909555,12.81487085,3.740945133,1.867544934,221.9304332,36.63171305,9.068058715,1.773611399,13.60874144,12.6951703,1.54E-24,39.43794631,11.50239464,2.731441606,1.77311506,201.3883036,52.6475777,55.78947426,27.78219561,17.86644375,68.84559815,0.1,91.58175634,15.89636904,4.569478556,2.179911349,277.012394
7/2/2010,1,2,4,0,20.6091085,18.12767487,17.59466431,24.51554741,20.8205504,1.08E-20,48.25522704,14.65651858,3.916237884,2.035644164,249.6560205,27.81363854,44.89203933,18.09794537,5.781896827,27.6622502,1.01E-05,71.39909555,12.81487085,3.740945133,1.867544934,221.9304332,24.83274106,57.47127258,37.44650429,15.81585653,48.59269674,0.1,76.12282358,15.59378476,4.629817158,2.219126928,268.1775743
8/2/2010,1,2,5,0,7.593065206,13.06296766,35.82184418,46.60700246,53.95650698,1.25E-20,72.29933144,17.34239133,4.646829761,2.147458496,216.4319859,20.6091085,18.12767487,17.59466431,24.51554741,20.8205504,1.08E-20,48.25522704,14.65651858,3.916237884,2.035644164,249.6560205,31.5227191,34.98196353,31.3646401,21.40681927,35.51203486,0.010615071,74.71096826,15.91921673,4.554696089,2.217518723,241.3556751
9/2/2010,1,2,6,0,8.58606222,33.16740135,51.05474178,45.87370706,20.60470276,7.52E-05,72.50967238,19.26079684,4.633351844,2.227881116,207.5422628,7.593065206,13.06296766,35.82184418,46.60700246,53.95650698,1.25E-20,72.29933144,17.34239133,4.646829761,2.147458496,216.4319859,15.88986847,23.09775373,38.1256319,46.70683138,30.71897034,1.15E-11,50.39368495,18.38024657,4.547554533,2.208521704,275.8477246
10/2/2010,1,2,7,0,6.733611056,58.30487228,27.22544923,19.45854004,33.85500933,4.37E-05,41.01536125,17.37253431,4.634612214,2.226563729,204.0238881,8.58606222,33.16740135,51.05474178,45.87370706,20.60470276,7.52E-05,72.50967238,19.26079684,4.633351844,2.227881116,207.5422628,49.40649637,60.73568327,53.87812258,36.9447989,17.4887282,0.1,49.26579442,20.23206519,4.616200517,2.215256035,348.5081392
11/2/2010,1,2,1,0,32.21748288,9.916028873,8.240740928,35.51244145,21.18780523,2.80E-23,48.60606323,15.51346661,3.908655447,2.145143565,204.1631665,6.733611056,58.30487228,27.22544923,19.45854004,33.85500933,4.37E-05,41.01536125,17.37253431,4.634612214,2.226563729,204.0238881,68.39875406,39.8745558,15.28398818,21.79303111,16.46034631,0.1,71.22274069,18.0649906,4.32494601,2.190663828,329.4877045
12/2/2010,1,2,2,0,16.56379365,51.79966563,40.69240801,12.14770516,19.49676886,0.099988331,65.85879826,15.72650891,4.131292636,2.084422626,240.3281121,32.21748288,9.916028873,8.240740928,35.51244145,21.18780523,2.80E-23,48.60606323,15.51346661,3.908655447,2.145143565,204.1631665,40.7328875,19.90602945,3.783634055,0.866805528,10.42754831,3.54E-17,38.10927993,13.5923988,3.157728327,2.01259026,252.6881364
13-02-2010,1,2,3,0,34.03109482,48.72378479,17.02008364,32.18318587,61.51257105,0.044397704,46.14070453,17.59054883,4.692931194,2.177500648,361.5819302,16.56379365,51.79966563,40.69240801,12.14770516,19.49676886,0.099988331,65.85879826,15.72650891,4.131292636,2.084422626,240.3281121,36.63171305,9.068058715,1.773611399,13.60874144,12.6951703,1.54E-24,39.43794631,11.50239464,2.731441606,1.77311506,201.3883036
14-02-2010,1,2,4,0,20.47600329,42.1102289,46.39420876,18.99770029,36.37048193,0.099987417,99.07306741,16.16022536,4.507572494,2.219258231,229.8098556,34.03109482,48.72378479,17.02008364,32.18318587,61.51257105,0.044397704,46.14070453,17.59054883,4.692931194,2.177500648,361.5819302,27.81363854,44.89203933,18.09794537,5.781896827,27.6622502,1.01E-05,71.39909555,12.81487085,3.740945133,1.867544934,221.9304332
15-02-2010,1,2,5,0,27.78992401,36.70683138,32.66838343,39.74172756,61.23883156,0.005546916,56.50628543,18.88634056,4.885976558,2.240023183,337.9323783,20.47600329,42.1102289,46.39420876,18.99770029,36.37048193,0.099987417,99.07306741,16.16022536,4.507572494,2.219258231,229.8098556,20.6091085,18.12767487,17.59466431,24.51554741,20.8205504,1.08E-20,48.25522704,14.65651858,3.916237884,2.035644164,249.6560205
16-02-2010,1,2,6,0,19.49827608,26.9447989,45.85563159,47.36586331,21.14009361,4.52E-05,95.70364223,19.09354759,4.535808807,2.2430246,236.3897371,27.78992401,36.70683138,32.66838343,39.74172756,61.23883156,0.005546916,56.50628543,18.88634056,4.885976558,2.240023183,337.9323783,7.593065206,13.06296766,35.82184418,46.60700246,53.95650698,1.25E-20,72.29933144,17.34239133,4.646829761,2.147458496,216.4319859
17-02-2010,1,2,7,0,3.917080082,27.68954667,29.53152099,21.54706983,12.96534828,1.33E-18,54.8407461,17.31611364,4.417503163,2.192023516,184.1964144,19.49827608,26.9447989,45.85563159,47.36586331,21.14009361,4.52E-05,95.70364223,19.09354759,4.535808807,2.2430246,236.3897371,8.58606222,33.16740135,51.05474178,45.87370706,20.60470276,7.52E-05,72.50967238,19.26079684,4.633351844,2.227881116,207.5422628
18-02-2010,1,2,1,0,76.0248829,12.6823751,11.58233568,18.14892419,34.02336947,0.057189666,14.50987268,15.65099241,4.264087815,2.161204804,271.6658398,3.917080082,27.68954667,29.53152099,21.54706983,12.96534828,1.33E-18,54.8407461,17.31611364,4.417503163,2.192023516,184.1964144,6.733611056,58.30487228,27.22544923,19.45854004,33.85500933,4.37E-05,41.01536125,17.37253431,4.634612214,2.226563729,204.0238881
19-02-2010,1,2,2,0,29.29541032,26.30020829,22.93897963,12.96405276,23.57823974,4.76E-11,45.7974096,15.0594213,3.992704833,2.111036213,267.8743181,76.0248829,12.6823751,11.58233568,18.14892419,34.02336947,0.057189666,14.50987268,15.65099241,4.264087815,2.161204804,271.6658398,32.21748288,9.916028873,8.240740928,35.51244145,21.18780523,2.80E-23,48.60606323,15.51346661,3.908655447,2.145143565,204.1631665
20-02-2010,1,2,3,0,69.36637173,45.41311216,12.78522009,7.643543168,51.09276429,0.1,80.87456869,13.904578,4.377587194,2.124688774,271.8523058,29.29541032,26.30020829,22.93897963,12.96405276,23.57823974,4.76E-11,45.7974096,15.0594213,3.992704833,2.111036213,267.8743181,16.56379365,51.79966563,40.69240801,12.14770516,19.49676886,0.099988331,65.85879826,15.72650891,4.131292636,2.084422626,240.3281121
21-02-2010,1,2,4,0,22.99540059,33.67284524,14.91435435,18.22362073,21.97238712,4.55E-14,79.83531029,13.61584756,3.732019539,2.093049375,227.7319965,69.36637173,45.41311216,12.78522009,7.643543168,51.09276429,0.1,80.87456869,13.904578,4.377587194,2.124688774,271.8523058,34.03109482,48.72378479,17.02008364,32.18318587,61.51257105,0.044397704,46.14070453,17.59054883,4.692931194,2.177500648,361.5819302
22-02-2010,1,2,5,0,11.32230341,46.77332111,15.69780556,27.99874618,8.633971432,4.16E-13,63.81026509,15.27544858,3.440466642,1.970252342,236.6541045,22.99540059,33.67284524,14.91435435,18.22362073,21.97238712,4.55E-14,79.83531029,13.61584756,3.732019539,2.093049375,227.7319965,20.47600329,42.1102289,46.39420876,18.99770029,36.37048193,0.099987417,99.07306741,16.16022536,4.507572494,2.219258231,229.8098556
23-02-2010,1,2,6,0,38.52513265,36.60700246,51.30424341,48.31927998,47.0440501,0.1,27.67430396,19.73008261,4.660681207,2.092005761,391.5473997,11.32230341,46.77332111,15.69780556,27.99874618,8.633971432,4.16E-13,63.81026509,15.27544858,3.440466642,1.970252342,236.6541045,27.78992401,36.70683138,32.66838343,39.74172756,61.23883156,0.005546916,56.50628543,18.88634056,4.885976558,2.240023183,337.9323783
24-02-2010,1,2,7,0,25.62819634,42.09244301,22.43286503,28.10709249,36.46494284,5.29E-06,57.38912568,19.53601205,4.628223473,2.228820643,325.8734412,38.52513265,36.60700246,51.30424341,48.31927998,47.0440501,0.1,27.67430396,19.73008261,4.660681207,2.092005761,391.5473997,19.49827608,26.9447989,45.85563159,47.36586331,21.14009361,4.52E-05,95.70364223,19.09354759,4.535808807,2.2430246,236.3897371
25-02-2010,1,2,1,0,45.6179176,35.87370706,12.46689069,20.62932609,19.55329835,2.37E-04,48.11259897,16.10508284,3.842810947,2.136652629,269.659389,25.62819634,42.09244301,22.43286503,28.10709249,36.46494284,5.29E-06,57.38912568,19.53601205,4.628223473,2.228820643,325.8734412,3.917080082,27.68954667,29.53152099,21.54706983,12.96534828,1.33E-18,54.8407461,17.31611364,4.417503163,2.192023516,184.1964144
26-02-2010,1,2,2,1,21.48781774,24.18781006,10.52587349,9.606523814,44.1950181,9.52E-21,48.94796705,13.80981081,4.11384699,2.074009055,226.5051245,45.6179176,35.87370706,12.46689069,20.62932609,19.55329835,2.37E-04,48.11259897,16.10508284,3.842810947,2.136652629,269.659389,76.0248829,12.6823751,11.58233568,18.14892419,34.02336947,0.057189666,14.50987268,15.65099241,4.264087815,2.161204804,271.6658398
27-02-2010,1,2,3,1,8.094139655,43.22155774,24.95148186,1.614563456,45.80848172,4.93E-12,85.36341817,11.61919193,4.311401632,2.131232986,167.6540562,21.48781774,24.18781006,10.52587349,9.606523814,44.1950181,9.52E-21,48.94796705,13.80981081,4.11384699,2.074009055,226.5051245,29.29541032,26.30020829,22.93897963,12.96405276,23.57823974,4.76E-11,45.7974096,15.0594213,3.992704833,2.111036213,267.8743181
28-02-2010,1,2,4,1,41.29784837,38.49655044,23.45617886,2.809384508,42.4940395,0.096269386,108.6414626,11.78669238,4.415580956,2.166419673,196.9828831,8.094139655,43.22155774,24.95148186,1.614563456,45.80848172,4.93E-12,85.36341817,11.61919193,4.311401632,2.131232986,167.6540562,69.36637173,45.41311216,12.78522009,7.643543168,51.09276429,0.1,80.87456869,13.904578,4.377587194,2.124688774,271.8523058
1/3/2010,1,3,5,0,30.92810553,29.74172756,24.58873621,44.47005004,50.45628442,3.96E-08,41.92774148,17.5523272,4.518275584,2.189848165,344.6084812,41.29784837,38.49655044,23.45617886,2.809384508,42.4940395,0.096269386,108.6414626,11.78669238,4.415580956,2.166419673,196.9828831,22.99540059,33.67284524,14.91435435,18.22362073,21.97238712,4.55E-14,79.83531029,13.61584756,3.732019539,2.093049375,227.7319965
2/3/2010,1,3,6,0,20.28708634,50.14384949,33.35549558,39.53921128,44.28693472,0.097782644,60.81496006,19.32614515,4.545872402,2.20432685,341.4668054,30.92810553,29.74172756,24.58873621,44.47005004,50.45628442,3.96E-08,41.92774148,17.5523272,4.518275584,2.189848165,344.6084812,11.32230341,46.77332111,15.69780556,27.99874618,8.633971432,4.16E-13,63.81026509,15.27544858,3.440466642,1.970252342,236.6541045
3/3/2010,1,3,7,0,21.44724145,40.47114725,6.856499234,39.82066383,20.94079961,2.75E-15,76.95199899,17.48511788,3.952997848,2.139933243,231.7182039,20.28708634,50.14384949,33.35549558,39.53921128,44.28693472,0.097782644,60.81496006,19.32614515,4.545872402,2.20432685,341.4668054,38.52513265,36.60700246,51.30424341,48.31927998,47.0440501,0.1,27.67430396,19.73008261,4.660681207,2.092005761,391.5473997
4/3/2010,1,3,1,0,22.75903998,55.4634382,11.85971051,17.01886369,10.91505596,4.93E-06,37.64617467,15.36135813,2.997620847,1.938830676,226.3401503,21.44724145,40.47114725,6.856499234,39.82066383,20.94079961,2.75E-15,76.95199899,17.48511788,3.952997848,2.139933243,231.7182039,25.62819634,42.09244301,22.43286503,28.10709249,36.46494284,5.29E-06,57.38912568,19.53601205,4.628223473,2.228820643,325.8734412
5/3/2010,1,3,2,0,21.21418497,37.36586331,6.762727186,8.087983601,38.35982067,8.88E-17,64.6936333,12.47768236,3.864917314,1.926077368,192.2787101,22.75903998,55.4634382,11.85971051,17.01886369,10.91505596,4.93E-06,37.64617467,15.36135813,2.997620847,1.938830676,226.3401503,45.6179176,35.87370706,12.46689069,20.62932609,19.55329835,2.37E-04,48.11259897,16.10508284,3.842810947,2.136652629,269.659389
6/3/2010,1,3,3,0,46.25865217,27.32060474,22.5527243,19.33842092,26.45475406,0.002047188,44.98069152,14.71320618,3.897955698,2.049352499,278.1258575,21.21418497,37.36586331,6.762727186,8.087983601,38.35982067,8.88E-17,64.6936333,12.47768236,3.864917314,1.926077368,192.2787101,21.48781774,24.18781006,10.52587349,9.606523814,44.1950181,9.52E-21,48.94796705,13.80981081,4.11384699,2.074009055,226.5051245
7/3/2010,1,3,4,0,24.21304763,11.53071017,28.17193471,21.014059,54.14564782,2.13E-17,74.28716044,15.63903518,4.614973727,2.141586117,234.0698678,46.25865217,27.32060474,22.5527243,19.33842092,26.45475406,0.002047188,44.98069152,14.71320618,3.897955698,2.049352499,278.1258575,8.094139655,43.22155774,24.95148186,1.614563456,45.80848172,4.93E-12,85.36341817,11.61919193,4.311401632,2.131232986,167.6540562
8/3/2010,1,3,5,0,8.229126912,52.22338628,33.31032223,46.83340389,49.09124257,1.95E-04,49.15495021,17.80217465,4.646293798,2.225840921,252.2805235,24.21304763,11.53071017,28.17193471,21.014059,54.14564782,2.13E-17,74.28716044,15.63903518,4.614973727,2.141586117,234.0698678,41.29784837,38.49655044,23.45617886,2.809384508,42.4940395,0.096269386,108.6414626,11.78669238,4.415580956,2.166419673,196.9828831
9/3/2010,1,3,6,0,17.62673338,44.44607915,52.33354384,46.57344937,41.81838927,0.099999945,56.26373632,20.1348783,4.768948447,2.242329891,313.7699197,8.229126912,52.22338628,33.31032223,46.83340389,49.09124257,1.95E-04,49.15495021,17.80217465,4.646293798,2.225840921,252.2805235,30.92810553,29.74172756,24.58873621,44.47005004,50.45628442,3.96E-08,41.92774148,17.5523272,4.518275584,2.189848165,344.6084812
